time,TCOMP,SK,QTOP,QBOT,H0001,H0002,H0003,H0004,H0005,H0006,H0007,H0008,H0009,H0010,H0011,H0012,H0013,H0014,H0015,H0016,H0017,H0018,H0019,EST,ESM,ESB,PST,PSM,PSB,GS,ES
61.18720942059,0.5557424584,0.1009169528,-0.2255524640E-02,-0.2241966223E-02,0.5935591157,1.762781901,2.879150573,3.910215388,4.827407826,5.606926422,6.230086487,6.683200545,6.957151006,7.046866069,6.950903093,6.671284187,6.213633155,5.587555987,4.807115987,3.891202600,2.863593593,1.752564231,0.5899911112,989.9327567,988.8385706,999.4100089,989.9118021,988.6239951,999.3892332,2000.000000,1000.000000
64.62970796114,0.5706824723,0.1008867387,-0.2176388639E-02,-0.2163486525E-02,0.5727338523,1.701264185,2.779700627,3.777064363,4.665778195,5.422506860,6.028569866,6.469972727,6.737176209,6.824762780,6.731155789,6.458502327,6.012757788,5.403928235,4.646357227,3.758904739,2.764867714,1.691534512,0.5693385592,989.9535819,989.0583179,999.4306614,989.9327567,988.8385706,999.4100089,2000.000000,1000.000000
68.24433142870,0.5858021503,0.1008561715,-0.2097593743E-02,-0.2085325494E-02,0.5519983533,1.639934432,2.680313718,3.643545379,4.503043080,5.236022669,5.823959653,6.252736171,6.512564005,6.597801415,6.506780112,6.241725896,5.808801894,5.218241812,4.484488582,3.626225169,2.666186836,1.630677626,0.5487698669,989.9743174,989.2826936,999.4512301,989.9535819,989.0583179,999.4306614,2000.000000,1000.000000
72.03968606965,0.6010837394,0.1008252879,-0.2019024335E-02,-0.2007368600E-02,0.5313221934,1.578715154,2.580903117,3.509614434,4.339253585,5.047658895,5.616589439,6.031958542,6.283874564,6.366574182,6.278333344,6.021417570,5.602093292,5.030676590,4.321557589,3.493118236,2.567464085,1.569916576,0.5282548948,989.9949936,989.5111403,999.4717451,989.9743174,989.2826936,999.4512301,2000.000000,1000.000000
76.02480844264,0.6165067085,0.1007941296,-0.1940600230E-02,-0.1929536653E-02,0.5106842710,1.517555112,2.481420554,3.375271690,4.174504038,4.857637604,5.406820835,5.808126542,6.051680655,6.131683677,6.046385714,5.798059673,5.392988537,4.841450133,4.157655499,3.359582717,2.468651118,1.509200593,0.5077728035,990.0156315,989.7430880,999.4922272,989.9949936,989.5111403,999.4717451,2000.000000,1000.000000
80.20918693429,0.6320477513,0.1007627443,-0.1862276621E-02,-0.1851785758E-02,0.4900727949,1.456429318,2.381856316,3.240561729,4.008932350,4.666218224,5.195043610,5.581745748,5.816567205,5.893742315,5.811519952,5.572154006,5.181873056,4.650818022,3.992917628,3.225662059,2.369738210,1.448505131,0.4873120416,990.0362430,989.9779537,999.5126880,990.0156315,989.7430880,999.4922272,2000.000000,1000.000000
84.60278435051,0.6476808294,0.1007311849,-0.1784043327E-02,-0.1774106568E-02,0.4694850861,1.395338503,2.282238539,3.105572858,3.842719488,4.473697198,4.981675493,5.353340477,5.579131168,5.653372207,5.574331153,5.344221693,4.969160919,4.459073481,3.827522802,3.091443678,2.270753557,1.387831340,0.4668701494,990.0568307,990.2151425,999.5331299,990.0362430,989.9779537,999.5126880,2000.000000,1000.000000
89.21606163755,0.6633772575,0.1006995096,-0.1705923387E-02,-0.1696522878E-02,0.4489272072,1.334308092,2.182631775,2.970435577,3.676088103,4.280406985,4.767161598,5.123453589,5.339981577,5.411205285,5.335426806,5.114802946,4.755294224,4.266546340,3.661691955,2.957057403,2.171761824,1.327205043,0.4464533889,990.0773886,990.4540469,999.5535466,990.0568307,990.2151425,999.5331299,2000.000000,1000.000000
94.06000278894,0.6791058286,0.1006677815,-0.1627971076E-02,-0.1619089646E-02,0.4284134412,1.273386754,2.083134908,2.835320262,3.509300419,4.086714443,4.551973452,4.892646112,5.099739596,5.167883491,5.095426817,4.884456649,4.540742060,4.073601353,3.495685970,2.822673133,2.072862051,1.266675276,0.4260762227,990.0979023,990.6940469,999.5739238,990.0773886,990.4540469,999.5535466,2000.000000,1000.000000
99.14614099789,0.6948329815,0.1006360684,-0.1550269437E-02,-0.1541890526E-02,0.4079656414,1.212644578,1.983878512,2.700434209,3.342655443,3.893018616,4.336607558,4.661496590,4.859038408,4.924058858,4.854963367,4.653759639,4.325999012,3.880635930,3.329802846,2.688497856,1.974185006,1.206312473,0.4057606648,990.1183501,990.9345103,999.5942393,990.0979023,990.6940469,999.5739238,2000.000000,1000.000000
