 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  NODE  THIK  HEAD  THETA  VK  SKE  SKV
 1          9          4.2246966        1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          9          4.2246966        1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          10         4.8190695        1          1          1          2          1          5.2453501        9.6682948        0.44813277       0.001            1.0231798e-05    0.010231798     
 1          10         4.8190695        1          1          1          2          2          5.2629916        9.9969032        0.44998262       0.001            1.020434e-05     0.01020434      
 1          10         4.8190695        1          1          1          2          3          5.2631568        9.9999789        0.44999988       0.001            1.0204083e-05    0.010204083     
 1          10         4.8190695        1          1          1          2          4          5.2631579        9.9999999        0.45             0.001            1.0204082e-05    0.010204082     
 1          10         4.8190695        1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          10         4.8190695        1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          10         4.8190695        1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          10         4.8190695        1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          10         4.8190695        1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          10         4.8190695        1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          11         5.443161         1          1          1          2          1          5.2431109        9.6265697        0.44789708       0.001            1.0235297e-05    0.010235297     
 1          11         5.443161         1          1          1          2          2          5.2629482        9.9960959        0.44997809       0.001            1.0204407e-05    0.010204407     
 1          11         5.443161         1          1          1          2          3          5.2631563        9.9999704        0.44999983       0.001            1.0204084e-05    0.010204084     
 1          11         5.443161         1          1          1          2          4          5.2631579        9.9999998        0.45             0.001            1.0204082e-05    0.010204082     
 1          11         5.443161         1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          11         5.443161         1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          11         5.443161         1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          11         5.443161         1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
