 IPER  ISTEP           TLEN           ILYR    IROW   ICOL            XCORD               YCORD                HEAD
 1          64         166.31768580     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          64         166.31768580     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          65         175.01670816     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          65         175.01670816     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          65         175.01670816     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          66         184.15068164     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          66         184.15068164     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          66         184.15068164     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          67         193.74135379     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          67         193.74135379     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          67         193.74135379     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          68         203.81155955     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          68         203.81155955     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          68         203.81155955     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          69         214.38527560     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          69         214.38527560     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          69         214.38527560     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          70         225.48767745     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          70         225.48767745     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          70         225.48767745     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          71         237.14519939     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          71         237.14519939     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          71         237.14519939     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          72         249.38559743     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          72         249.38559743     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          72         249.38559743     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          73         262.23801537     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          73         262.23801537     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          73         262.23801537     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          74         275.73305421     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          74         275.73305421     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          74         275.73305421     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          75         289.90284498     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          75         289.90284498     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          75         289.90284498     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          76         304.78112530     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          76         304.78112530     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          76         304.78112530     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          77         320.40331964     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          77         320.40331964     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          77         320.40331964     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          78         336.80662369     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          78         336.80662369     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          78         336.80662369     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          79         354.03009294     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          79         354.03009294     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          79         354.03009294     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          80         372.11473566     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          80         372.11473566     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          80         372.11473566     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          81         391.10361051     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          81         391.10361051     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          81         391.10361051     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          82         411.04192911     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          82         411.04192911     1          1          2          1.50000000       -0.50000000      0.00000000          
